Checked by,Final Decision ,Name,Source (Paper),Year (Paper),Source (Code),Year (Code),Official Code?,Constraints (open-source code),Source (Benchmark / Survey),Number of appearances,Free Comments,Potential issue,Deterministic?,Robustness,Leakage-safety?,Implemented in TabArena?
Basti,"Too few citations, Variation of another method",CMIFS,https://doi.org/10.4218/etrij.11.0110.0237,2011,,,,,Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection,1,,,,,,No
Basti,Yes,CMIM,http://www.jmlr.org/papers/volume5/fleuret04a/fleuret04a.pdf,2004,https://github.com/jundongl/scikit-feature/blob/master/skfeature/function/information_theoretical_based/CMIM.py,2017,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, Feature Selection: A Data Perspective, ROOFS: Robust Bio Marker Feature Selection, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection",5,,,,,,Yes
Basti,Yes,JMI,https://proceedings.neurips.cc/paper_files/paper/1999/file/8c01a75941549a705cf7275e41b21f0d-Paper.pdf,1999,https://github.com/EESI/PyFeast/blob/556ae3823ce8105668cf22bb966acdec1ef954e6/feast.py#L300,,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, Feature Selection: A Data Perspective, ROOFS: Robust Bio Marker Feature Selection, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection",5,"Everyone cites the Yang paper, some also cite Meyer, which is unrelated IMO (https://doi.org/10.1109/JSTSP.2008.923858)",,,,,Yes
Basti,"No, Too few citations",JMIM,https://doi.org/10.1016/j.eswa.2015.07.007,2015,https://github.com/danielhomola/mifs/blob/f84a05d77a53586ffb475fcd42957d088c6b2906/mifs/mifs.py#L125,,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications",2,"Maybe we could include this, the paper has 800 citations ?",,,,,No
Basti,"Too few citations, Variation of another method",NJMIM,https://doi.org/10.1016/j.eswa.2015.07.007,2015,,,,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications",2,Same as JMIM but with symmetrical relevance instead of MI,,,,,No
Basti,Yes,MRMR,https://doi.org/10.1109/TPAMI.2005.159,2005,https://github.com/smazzanti/mrmr,,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, Benchmark study of feature selection strategies for multi‑omics data, Recent advances in feature selection and its applications, Feature Selection: A Data Perspective, A survey on feature selection methods, ROOFS: Robust Bio Marker Feature Selection, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection, A review of feature selection methods with applications, A review of feature selection techniques in bioinformatics, A review of feature selection methods on synthetic data, Feature Selection for Classification: A Review",12,"Most cited method, always same reference paper, can't be more clear. This is a variable subset selection method based on entropy",,,,,Yes
Basti,"Yes, Variation of another method",CIFE,https://doi.org/10.1007/11744023_6,2006,,,,,"Feature Selection: A Data Perspective, ROOFS: Robust Bio Marker Feature Selection, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection",3,"Even if it has 3 appearances, it has only 330 citations and I think it is quite closely related to mRMR",,,,,"In Progress, but not sure if we should include it"
Basti,"Yes",DISR,https://doi.org/10.1007/11732242_9,2006,https://github.com/jundongl/scikit-feature/blob/48cffad4e88ff4b9d2f1c7baffb314d1b3303792/skfeature/function/information_theoretical_based/DISR.py,2017,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, Feature Selection: A Data Perspective, ROOFS: Robust Bio Marker Feature Selection, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection",5,"This is the yet another method based on Entropy and Mutual Information, we don't need it necessarily.  Other implementation: https://github.com/ctlab/ITMO_FS/blob/a2e61e2fabb9dfb34d90a1130fc7f5f162a2c921/ITMO_FS/filters/multivariate/DISRwithMassive.py#L22",,,,,Yes
Basti,Too few citations,Informative Fragment,https://people.eecs.berkeley.edu/~efros/courses/AP06/Papers/vidal-iccv-03.pdf,2003,,,,,Feature Selection: A Data Perspective,1,,,,,,No
Basti,Yes,Gain Ratio,https://link.springer.com/article/10.1007/BF00116251,1986,,,,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, A review of feature selection methods with applications",3,,,,,,Yes
Basti,"Too few citations, Variation of another method",Gain Ratio Cost,https://doi.org/10.1007/978-3-540-39857-8_30,2003,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,Yes,Symmetrical Uncertainty,https://experimentationlab.berkeley.edu/sites/default/files/NLD/References/11-Fourier_Transform_Spectral_Methods.pdf,1988,https://github.com/ctlab/ITMO_FS/blob/a2e61e2fabb9dfb34d90a1130fc7f5f162a2c921/ITMO_FS/filters/univariate/measures.py#L164,2020,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, A review of feature selection methods with applications, Robust feature selection using ensemble feature selection techniques, Filter methods",5,"The linked Press Paper seems to be the original one, it is cited by everyone. I can't find anything in the paper, but the formula, which is also used in all other papers can be found here: https://doi.org/10.1109/CESYS.2018.8723980 ",,,,,Yes
Basti,"Yes, Variation of another method",FCBF,https://asu.elsevierpure.com/en/publications/feature-selection-for-high-dimensional-data-a-fast-correlation-ba/,2003,,,,,"Recent advances in feature selection and its applications, Feature Selection: A Data Perspective, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection, A review of feature selection methods with applications, Feature Selection for Classification: A Review",5,Based on symmetrical uncertainty,,,,,"In Progress, but not sure if we should include it"
Basti,Yes,INTERACT,https://doi.org/10.3233/IDA-2009-0364,2009,,,,,"A survey of feature selection and feature extraction techniques in machine learning, A review of feature selection methods on synthetic data",2,,,,,,Yes
Basti,"Yes, No",Accuracy,https://doi.org/10.1007/978-3-540-35488-8_4,2006,,,,,"Filter Methods for Feature Selection in Supervised Machine Learning Applications, A review of feature selection methods with applications, Filter methods",3,,"Hopf and Jovic don't mention any working mechanism and don't cite anything. Duch provides a formula, but in fact we have only one citation, which clearly states what they understand as accuracy. Maybe we calculate accuracy by giving one column to a model and see how the model performs?",,,,"Yes, to verify"
Basti,"Too few citations, Variation of another method",Uniform Accuracy,Accuracy with uniform priors,,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",auc,Area under Curve accuracy,,https://github.com/scikit-learn/scikit-learn/blob/b345ff7cadeb9f80035041e9bdf931cc695413d5/sklearn/metrics/_ranking.py#L47,2025,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications",2,,,,,,No
Basti,Yes,oneR,https://doi.org/10.1023/A:1022631118932,1993,,,,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, A review of feature selection methods with applications",3,The algorithm uses OneR classifier to find out the attributes' weights. predict the class based on the value of a single feature,,,,,Yes
Basti,No,Relief,https://doi.org/10.1016/B978-1-55860-247-2.50037-1,1992,,,,,"Filter Methods for Feature Selection in Supervised Machine Learning Applications, ROOFS: Robust Bio Marker Feature Selection, A review of feature selection methods with applications, Wrappers for feature subset selection, Feature selection: a review and comparative study, Robust feature selection using ensemble feature selection techniques, Feature Selection for Classification: A Review, Filter methods, A survey on feature selection methods",9,"This is cited often and the original method, but it cannot deal with incomplete data and is limited to two-class problems. This restriction is solved by ReliefF",,,,,No
Basti,"No, Variation of another method",Relief-A,https://doi.org/10.1007/3-540-57868-4_57,1994,,,,,,0,Variation of Relief,,,,,No
Basti,"No, Variation of another method",Relief-B,https://doi.org/10.1007/3-540-57868-4_57,1994,,,,,,0,Variation of Relief,,,,,No
Basti,"No, Variation of another method",Relief-C,https://doi.org/10.1007/3-540-57868-4_57,1994,,,,,,0,Variation of Relief,,,,,No
Basti,"No, Variation of another method",Relief-D,https://doi.org/10.1007/3-540-57868-4_57,1994,,,,,,0,Variation of Relief,,,,,No
Basti,Yes,ReliefF,https://link.springer.com/content/pdf/10.1023/A:1008280620621.pdf,1997,https://github.com/jundongl/scikit-feature/blob/48cffad4e88ff4b9d2f1c7baffb314d1b3303792/skfeature/function/similarity_based/reliefF.py,2016,No,,"Filter Methods for Feature Selection in Supervised Machine Learning Applications, Benchmark study of feature selection strategies for multi‑omics data, Feature Selection: A Data Perspective, ROOFS: Robust Bio Marker Feature Selection, A review of feature selection methods with applications, Feature Selection for Classification: A Review, Competitive baseline methods set new standards for the NIPS 2003 feature selection benchmark, A survey on feature selection methods, A review of feature selection methods on synthetic data, Filter methods",10,"This is the most cited Relief-version and I think it is a basic one, that still is applicable to all cases",,,,,Yes
Basti,"Too few citations, Variation of another method",Relief Kukar,https://doi.org/10.1016/s0933-3657(98)00063-3,1999,,,,,"Filter Methods for Feature Selection in Supervised Machine Learning Applications, ROOFS: Robust Bio Marker Feature Selection",2,,,,,,No
Basti,"Too few citations, Variation of another method",Myopic ReliefF,https://link.springer.com/chapter/10.1007/3-540-57868-4_57,1994,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",MDL,https://link.springer.com/chapter/10.1007/3-540-57868-4_57,1994,,,,,"Filter Methods for Feature Selection in Supervised Machine Learning Applications, Filter methods",2,,,,,,No
Basti,"Too few citations, Variation of another method",MDL Lamp,https://doi.org/10.1023/A:1025667309714,2003,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",ReliefF averaged costs,https://doi.org/10.1023/A:1025667309714,2003,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",ReliefF equal K,https://doi.org/10.1023/A:1025667309714,2003,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",ReliefF expected costs,https://doi.org/10.1023/A:1025667309714,2003,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",ReliefF expected rank,https://doi.org/10.1023/A:1025667309714,2003,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",ReliefF avg probablity,https://doi.org/10.1023/A:1025667309714,2003,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",ReliefF expected probability,https://doi.org/10.1023/A:1025667309714,2003,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",ReliefF cost-sensitive sampling,https://doi.org/10.1023/A:1025667309714,2003,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",ReliefF squared distance,https://doi.org/10.1023/A:1025667309714,2003,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"Too few citations, Variation of another method",ReliefF distance,https://doi.org/10.1023/A:1025667309714,2003,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"No, Too few citations",dist angle,Cosine of angular distance between splits,,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"No, Too few citations",dist euclid,Euclidean distance between splits,,,,,,"Filter Methods for Feature Selection in Supervised Machine Learning Applications, A survey of feature selection and feature extraction techniques in machine learning",2,,,,,,No
Basti,"No, Too few citations",dist hellinger,Hellinger distance between class distributions in branches,,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,"No, Too few citations",equal hellinger,Two equally weighted splits based Hellinger distance,,,,,,Filter Methods for Feature Selection in Supervised Machine Learning Applications,1,,,,,,No
Basti,Yes,CFS (Hall),https://doi.org/10.1109/CESYS.2018.8723980,1999,,,,,"Filter Methods for Feature Selection in Supervised Machine Learning Applications, Feature Selection: A Data Perspective, A review of feature selection methods with applications, A review of feature selection techniques in bioinformatics, A review of feature selection methods on synthetic data, Benchmark study of feature selection strategies for multi‑omics data, Filter methods, A survey of feature selection and feature extraction techniques in machine learning",8,,,,,,Yes
Basti,Yes,Pearson Correlation Coefficient,https://doi.org/10.1007/978-3-540-87481-2_21,2008,,,,,"A survey on feature selection methods, Filter methods, Robust feature selection using ensemble feature selection techniques, An Introduction to Variable and Feature Selection",4,"This is not the historic paper, but the formula is provided",,,,,"Yes, to verify"
Basti,Too few citations,Spearman Correlation Coefficient,https://doi.org/10.1007/978-3-540-87481-2_21,2008,,,,,"ROOFS: Robust Bio Marker Feature Selection, Robust feature selection using ensemble feature selection techniques",2,"This is not the historic paper, but the formula is provided. It is called hierarchical culstering in the ROOFS benchmark",,,,,No
Basti,Too few citations,Jaccard Index,https://doi.org/10.1007/978-3-540-87481-2_21,2008,,,,,Robust feature selection using ensemble feature selection techniques,1,"This is not the historic paper, but the formula is provided",,,,,No
Basti,Too few citations,Feature Similarity (Mahalanobis),https://www.jstor.org/stable/48723335,1936,This is the cited paper: https://www.proquest.com/dissertations-theses/spectral-feature-selection-mining-ultrahigh/docview/757228669/se-2 ,,,,Recent advances in feature selection and its applications,1,,,,,,No
Basti,Too few citations,SPFS-SFS,https://doi.org/10.1109/TKDE.2011.222,2013,,,,,A Survey on Feature Selection,1,,,,,,No
Basti,Yes,Consistency,https://scispace.com/pdf/consistency-based-feature-selection-33w8ejugqf.pdf,2000,,,,,"Filter Methods for Feature Selection in Supervised Machine Learning Applications, A review of feature selection methods on synthetic data, Filter methods",3,Follow-up paper: https://doi.org/10.1016/S0004-3702(03)00079-1 ,,,,,Yes
Basti,Too few citations,Inconsistency criterion,https://api.semanticscholar.org/CorpusID:17123515,1996,,,,,A review of feature selection methods with applications,1,"It is also based on inconcistency, I think this is all from the same author, the methods are not that different",,,,,No
